"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 24 17:16:50 GMT 2024","Tue Sep 24 17:16:51 GMT 2024","1573","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Tue Sep 24 17:16:53 GMT 2024","Tue Sep 24 17:16:54 GMT 2024","1081","test","test_hootel","TestHootel","","","test_hotel_list",""
